2020-09-23 10:44:36.671788 ;20200923_083322_50278457;Chapter 0;NONE;No action taken
2020-09-23 10:44:37.112055 ;20200923_083322_50278457;Chapter 1;sol_initialstate_objects_mainhasspecialobj_01;do_embarassing_thing(Shinobi, secludedareaoutdoor, Note, Komi)
2020-09-23 10:44:37.377431 ;20200923_083322_50278457;Chapter 1;sol_initialstate_objects_mainhasspecialobj_01;move(Tadano, schooloutdoors, classrooms)
2020-09-23 10:44:37.609155 ;20200923_083322_50278457;Chapter 1;sol_initialstate_objects_mainhasspecialobj_01;befriend(Komi, Tadano, classrooms)
2020-09-23 10:44:37.925318 ;20200923_083322_50278457;Chapter 1;sol_initialstate_objects_mainhasspecialobj_01;move(Tadano, classrooms, secludedareaindoor)
2020-09-23 10:44:38.188486 ;20200923_083322_50278457;Chapter 1;sol_initialstate_objects_mainhasspecialobj_01;move(Agari, secludedareaindoor, cafeteria)
2020-09-23 10:44:38.585910 ;20200923_083322_50278457;Chapter 1;sol_initialstate_objects_mainhasspecialobj_01;pick_up_thing(Agari, Ring, cafeteria)
2020-09-23 10:44:40.825271 ;20200923_083322_50278457;Chapter 2;sol_development_objects_rivalhasspecialobj_02;rm_likes(Shinobi, Komi)
2020-09-23 10:44:41.126183 ;20200923_083322_50278457;Chapter 2;sol_development_objects_rivalhasspecialobj_02;move(Shinobi, secludedareaoutdoor, secludedareaindoor)
2020-09-23 10:44:41.411572 ;20200923_083322_50278457;Chapter 2;sol_development_objects_rivalhasspecialobj_02;move(Agari, cafeteria, secludedareaindoor)
2020-09-23 10:44:41.611909 ;20200923_083322_50278457;Chapter 2;sol_development_objects_rivalhasspecialobj_02;take_thing(Mei, Agari, Ring, cafeteria)
2020-09-23 10:44:41.758967 ;20200923_083322_50278457;Chapter 2;sol_development_objects_rivalhasspecialobj_02;move(Shinobi, secludedareaindoor, cafeteria)
2020-09-23 10:44:41.959632 ;20200923_083322_50278457;Chapter 2;sol_development_objects_rivalhasspecialobj_02;take_thing(Shinobi, Mei, Ring, cafeteria)
2020-09-23 10:44:43.682737 ;20200923_083322_50278457;Chapter 3;sol_conflict_negativerelationships_mainandrivalmutualdislike_03;move(Agari, secludedareaindoor, schooloutdoors)
2020-09-23 10:44:43.909032 ;20200923_083322_50278457;Chapter 3;sol_conflict_negativerelationships_mainandrivalmutualdislike_03;move(Komi, classrooms, schooloutdoors)
2020-09-23 10:44:44.109519 ;20200923_083322_50278457;Chapter 3;sol_conflict_negativerelationships_mainandrivalmutualdislike_03;do_embarassing_thing(Agari, schooloutdoors, Diary, Shinobi)
2020-09-23 10:44:44.325434 ;20200923_083322_50278457;Chapter 3;sol_conflict_negativerelationships_mainandrivalmutualdislike_03;rm_dislikes(Agari, Shinobi)
2020-09-23 10:44:44.610538 ;20200923_083322_50278457;Chapter 3;sol_conflict_negativerelationships_mainandrivalmutualdislike_03;do_cool_thing(Shinobi, cafeteria, Ring, Agari)
2020-09-23 10:44:44.822151 ;20200923_083322_50278457;Chapter 3;sol_conflict_negativerelationships_mainandrivalmutualdislike_03;rm_dislikes(Shinobi, Agari)
2020-09-23 10:44:46.229457 ;20200923_083322_50278457;Chapter 4;sol_development_positiverelationships_rivallikessupport_02;No action taken
2020-09-23 10:44:46.614608 ;20200923_083322_50278457;Chapter 5;sol_resolution_friendship_mainandrivalmutualfriendship_01;do_embarassing_thing(Komi, schooloutdoors, Diary, Shinobi)
2020-09-23 10:44:46.830512 ;20200923_083322_50278457;Chapter 5;sol_resolution_friendship_mainandrivalmutualfriendship_01;move(Shinobi, cafeteria, schooloutdoors)
2020-09-23 10:44:47.099891 ;20200923_083322_50278457;Chapter 5;sol_resolution_friendship_mainandrivalmutualfriendship_01;friendly_act(Agari, Shinobi, schooloutdoors, Komi)
2020-09-23 10:44:47.347269 ;20200923_083322_50278457;Chapter 5;sol_resolution_friendship_mainandrivalmutualfriendship_01;friendly_act(Shinobi, Agari, schooloutdoors, Komi)
2020-09-23 12:46:41.267814 ;20200923_104448_ee2b079f;[!!!] ERROR: No solutions found after (2/2) tries.
2020-09-23 12:46:41.283468 Dead-end on 01-01-01
2020-09-23 15:07:23.068726 ;20200923_104448_ee2b079f;Chapter 0;NONE;No action taken
2020-09-23 15:07:23.955622 ;20200923_104448_ee2b079f;Chapter 1;sol_resolution_friendship_mainandsupportmutualfriendship_02;do_elegant_thing(Agari, schooloutdoors, UnknownThing, Shinobi)
2020-09-23 15:07:24.390629 ;20200923_104448_ee2b079f;Chapter 1;sol_resolution_friendship_mainandsupportmutualfriendship_02;rm_hates(Agari, Shinobi)
2020-09-23 15:07:24.734297 ;20200923_104448_ee2b079f;Chapter 1;sol_resolution_friendship_mainandsupportmutualfriendship_02;do_embarassing_thing(Shinobi, schooloutdoors, UnknownThing, Tadano)
2020-09-23 15:07:25.670293 ;20200923_104448_ee2b079f;Chapter 1;sol_resolution_friendship_mainandsupportmutualfriendship_02;move(Tadano, secludedareaoutdoor, schooloutdoors)
2020-09-23 15:07:26.076448 ;20200923_104448_ee2b079f;Chapter 1;sol_resolution_friendship_mainandsupportmutualfriendship_02;friendly_act(Agari, Tadano, schooloutdoors, Hitomi)
2020-09-23 15:07:26.404495 ;20200923_104448_ee2b079f;Chapter 1;sol_resolution_friendship_mainandsupportmutualfriendship_02;befriend(Tadano, Agari, schooloutdoors)
2020-09-23 15:07:28.671675 ;20200923_104448_ee2b079f;Chapter 2;sol_initialstate_objects_mainhasspecialobj_01;pick_up_thing(Agari, UnknownThing, schooloutdoors)
2020-09-23 15:07:28.952859 ;20200923_104448_ee2b079f;Chapter 2;sol_initialstate_objects_mainhasspecialobj_01;befriend(Shinobi, Hitomi, schooloutdoors)
2020-09-23 15:07:29.201461 ;20200923_104448_ee2b079f;Chapter 2;sol_initialstate_objects_mainhasspecialobj_01;do_cool_thing(Agari, schooloutdoors, UnknownThing, Tadano)
2020-09-23 15:07:29.453415 ;20200923_104448_ee2b079f;Chapter 2;sol_initialstate_objects_mainhasspecialobj_01;do_embarassing_thing(Tadano, schooloutdoors, UnknownThing, Agari)
2020-09-23 15:07:29.703356 ;20200923_104448_ee2b079f;Chapter 2;sol_initialstate_objects_mainhasspecialobj_01;move(Tadano, schooloutdoors, cafeteria)
2020-09-23 15:07:30.125132 ;20200923_104448_ee2b079f;Chapter 2;sol_initialstate_objects_mainhasspecialobj_01;pick_up_thing(Tadano, Diary, cafeteria)
2020-09-23 15:07:31.423649 ;20200923_104448_ee2b079f;Chapter 3;sol_development_positiverelationships_supportlikesmain_mundaneobjinvolved_01;rm_likes(Agari, Tadano)
2020-09-23 15:07:31.782939 ;20200923_104448_ee2b079f;Chapter 3;sol_development_positiverelationships_supportlikesmain_mundaneobjinvolved_01;rm_popular(Shinobi, Tadano)
2020-09-23 15:07:32.095367 ;20200923_104448_ee2b079f;Chapter 3;sol_development_positiverelationships_supportlikesmain_mundaneobjinvolved_01;rm_dislikes(Hitomi, Agari)
2020-09-23 15:07:32.392171 ;20200923_104448_ee2b079f;Chapter 3;sol_development_positiverelationships_supportlikesmain_mundaneobjinvolved_01;move(Agari, schooloutdoors, secludedareaindoor)
2020-09-23 15:07:32.688976 ;20200923_104448_ee2b079f;Chapter 3;sol_development_positiverelationships_supportlikesmain_mundaneobjinvolved_01;pick_up_thing(Agari, Drink, secludedareaindoor)
2020-09-23 15:07:33.987724 ;20200923_104448_ee2b079f;Chapter 4;sol_development_objects_rivalhasspecialobj_02;do_elegant_thing(Shinobi, schooloutdoors, UnknownThing, Hitomi)
2020-09-23 15:07:34.222043 ;20200923_104448_ee2b079f;Chapter 4;sol_development_objects_rivalhasspecialobj_02;rm_popular(Tadano, Agari)
2020-09-23 15:07:34.518849 ;20200923_104448_ee2b079f;Chapter 4;sol_development_objects_rivalhasspecialobj_02;rm_likes(Tadano, Hitomi)
2020-09-23 15:07:35.034352 ;20200923_104448_ee2b079f;Chapter 4;sol_development_objects_rivalhasspecialobj_02;pick_up_thing(Tadano, Diary, cafeteria)
2020-09-23 15:07:35.394594 ;20200923_104448_ee2b079f;Chapter 4;sol_development_objects_rivalhasspecialobj_02;move(Shinobi, schooloutdoors, cafeteria)
2020-09-23 15:07:35.691400 ;20200923_104448_ee2b079f;Chapter 4;sol_development_objects_rivalhasspecialobj_02;pick_up_thing(Shinobi, Diary, cafeteria)
2020-09-23 15:07:37.817636 ;20200923_104448_ee2b079f;Chapter 5;sol_conflict_negativerelationships_supportnotfriendswithmain_04;rm_not_aloof(Shinobi, Hitomi)
2020-09-23 15:07:38.301897 ;20200923_104448_ee2b079f;Chapter 5;sol_conflict_negativerelationships_supportnotfriendswithmain_04;take_thing(Azir, Agari, Drink, secludedareaindoor)
2020-09-23 15:07:38.614325 ;20200923_104448_ee2b079f;Chapter 5;sol_conflict_negativerelationships_supportnotfriendswithmain_04;do_elegant_thing(Hitomi, schooloutdoors, UnknownThing, Tadano)
2020-09-23 15:07:38.926750 ;20200923_104448_ee2b079f;Chapter 5;sol_conflict_negativerelationships_supportnotfriendswithmain_04;pick_up_thing(Tadano, Diary, cafeteria)
2020-09-23 15:07:39.274741 ;20200923_104448_ee2b079f;Chapter 5;sol_conflict_negativerelationships_supportnotfriendswithmain_04;move(Agari, secludedareaindoor, cafeteria)
2020-09-23 15:07:39.552521 ;20200923_104448_ee2b079f;Chapter 5;sol_conflict_negativerelationships_supportnotfriendswithmain_04;unfriendly_act(Agari, Tadano, cafeteria, Shinobi)
